time/total_timesteps,rollout/ep_rew_mean,train/entropy,train/policy_loss,train/value_loss
600,-14.5337,2.1945,-3.511,14.173
1200,-13.8988,2.1949,-0.3376,6.8886
1800,-15.0403,2.194,0.0212,21.5482
2400,-14.8372,2.1911,0.2856,8.6652
3000,-13.4192,2.1904,1.437,13.4837
3600,-13.6156,2.1889,-1.6585,12.5307
4200,-12.8804,2.1865,2.0121,4.7821
4800,-12.8058,2.1837,-0.3509,6.8317
5400,-13.5284,2.181,-2.7033,14.4481
6000,-13.2615,2.1801,1.8657,10.8501
6600,-13.3669,2.1741,0.5309,9.6874
7200,-13.3426,2.1718,0.5943,11.017
7800,-13.5352,2.1701,-1.3161,10.7126
8400,-13.7288,2.1685,-1.6067,14.9539
9000,-13.5718,2.1645,0.5709,3.693
9600,-13.6057,2.1627,-0.6327,15.1023
10200,-13.7586,2.1578,-1.8707,4.9389
10800,-13.6497,2.1561,1.1604,14.1542
11400,-13.7894,2.1559,-0.1363,5.8699
12000,-13.87,2.1541,-0.4258,4.2136
12600,-13.8393,2.151,1.6302,9.8356
13200,-14.0051,2.1424,-0.2738,6.7786
13800,-14.0684,2.1442,0.6666,22.9844
14400,-14.0101,2.1493,1.2698,13.5855
15000,-13.8658,2.1518,1.3672,8.1507
15600,-13.7216,2.1487,0.1607,10.3514
16200,-13.9142,2.1457,-2.4345,23.551
16800,-13.7998,2.1571,-1.2516,12.6426
17400,-13.4837,2.1593,1.6349,21.075
18000,-13.6896,2.1543,0.1513,8.7075
18600,-13.4946,2.1574,0.3604,7.8851
19200,-13.738,2.1569,-1.2557,12.3066
19800,-14.0821,2.155,-2.5528,29.847
20400,-14.0492,2.1556,-1.2161,15.6941
21000,-14.1646,2.1579,1.4093,12.9504
21600,-14.1927,2.1578,1.6651,6.9204
22200,-14.2613,2.1604,1.2892,9.1609
22800,-14.1406,2.1575,1.2877,3.3211
23400,-14.1014,2.1579,-1.5329,8.1978
24000,-14.0886,2.156,-0.1916,5.1421
24600,-14.1755,2.1579,-2.4656,11.8629
25200,-14.1241,2.1576,-0.3741,7.9082
25800,-14.093,2.1605,0.8937,8.7985
26400,-13.9777,2.1629,-1.1313,8.4207
27000,-14.1854,2.1561,-2.9166,15.8946
27600,-14.0056,2.1597,1.5081,16.4296
28200,-13.7748,2.1564,1.7226,6.9929
28800,-13.5879,2.1585,1.0139,8.0039
